id,created_at,updated_at,deleted_at,title,selected_type,file
817,2019-07-20 02:39:29.731058+03,2019-07-20 02:39:29.731058+03,,,,"{""FileName"":""duetsch.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/817/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
818,2019-07-20 02:43:06.075726+03,2019-07-20 02:43:06.075726+03,,,,"{""FileName"":""dinconn.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/818/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
819,2019-07-20 02:46:02.15365+03,2019-07-20 02:46:02.15365+03,,,,"{""FileName"":""coupledinconn.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/819/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
821,2019-07-20 04:15:12.083847+03,2019-07-20 04:15:12.083847+03,,,,"{""FileName"":""LaserFindEnd.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/821/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
822,2019-07-20 04:17:45.82131+03,2019-07-20 04:17:45.82131+03,,,,"{""FileName"":""455105.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/822/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
823,2019-07-23 00:33:33.111099+03,2019-07-23 00:33:33.111099+03,,,,"{""FileName"":""622Bvalve.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/823/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
824,2019-07-23 00:48:02.894433+03,2019-07-23 00:48:02.894433+03,,,,"{""FileName"":""accumulator (2).png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/824/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
825,2019-07-23 00:51:11.413448+03,2019-07-23 00:51:11.413448+03,,,,"{""FileName"":""dinconn.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/825/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
826,2019-07-23 01:16:55.936691+03,2019-07-23 01:16:55.936691+03,,,,"{""FileName"":""pumpthing.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/826/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
827,2019-07-23 01:39:59.308223+03,2019-07-23 01:39:59.308223+03,,,,"{""FileName"":""4din.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/827/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
828,2019-07-23 01:42:29.446532+03,2019-07-23 01:42:29.446532+03,,,,"{""FileName"":""4din1.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/828/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
829,2019-07-23 01:43:35.345179+03,2019-07-23 01:43:35.345179+03,,,,"{""FileName"":""4din1.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/829/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
830,2019-07-23 01:46:17.804788+03,2019-07-23 01:46:17.804788+03,,,,"{""FileName"":""4din11.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/830/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
831,2019-07-23 01:53:18.216119+03,2019-07-23 01:53:18.216119+03,,,,"{""FileName"":""4.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/831/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
832,2019-07-23 01:58:12.694033+03,2019-07-23 01:58:12.694033+03,,,,"{""FileName"":""2din.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/832/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
833,2019-07-23 02:03:15.76644+03,2019-07-23 02:03:15.76644+03,,,,"{""FileName"":""4din111.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/833/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
834,2019-07-23 02:08:49.954613+03,2019-07-23 02:08:49.954613+03,,,,"{""FileName"":""sdin.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/834/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
835,2019-07-23 02:13:22.819226+03,2019-07-23 02:13:22.819226+03,,,,"{""FileName"":""sdin.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/835/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
836,2019-07-23 18:46:44.319082+03,2019-07-23 18:46:44.319082+03,,,,"{""FileName"":""1din.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/836/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
837,2019-07-23 18:59:04.769037+03,2019-07-23 18:59:04.769037+03,,,,"{""FileName"":""dinconnectors.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/837/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
838,2019-07-24 21:36:38.963066+03,2019-07-24 21:36:38.963066+03,,,,"{""FileName"":""use622B.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/838/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
839,2019-07-24 21:43:18.417756+03,2019-07-24 21:43:18.417756+03,,,,"{""FileName"":""EP455100.PNG"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/839/file.PNG"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
840,2019-07-24 21:48:27.831113+03,2019-07-24 21:48:27.831113+03,,,,"{""FileName"":""sideback.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/840/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
841,2019-07-24 23:48:44.438+03,2019-07-24 23:48:44.438+03,,,,"{""FileName"":""front.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/841/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
